2	600	950
2,2	600	950
2,4	310	620
2,6	355	610
2,8	385	540
3	490	800
3,2	440	810
3,4	275	600
3,6	100	335
3,8	95	495
4	335	790
4,2	820	2300
4,4	910	2690
4,6	940	2300
4,8	1020	2230
5	1020	1840
5,2	1170	2520
5,4	1290	2700
5,6	1320	2840
5,8	1370	2730
6	1330	2490
6,2	1300	2600
6,4	1450	2870
6,6	1420	2980
6,8	1480	2700
7	1440	2510
7,2	1350	2880
7,4	1450	2790
7,6	1610	3400
7,8	1700	3260
8	1650	2790
8,2	1600	2450
8,4	1440	2580
8,6	1300	2260
8,8	1300	2000
9	1340	2020
9,2	1400	2250
9,4	1460	2620
9,6	1400	2400
9,8	1400	2160
10	1500	2350
10,2	1480	2320
10,4	1480	2300
10,6	1650	2900
