2	300	1700
2,2	580	1580
2,4	395	680
2,6	315	680
2,8	300	525
3	250	455
3,2	145	380
3,4	270	640
3,6	170	430
3,8	180	1050
4	740	1770
4,2	1400	4100
4,4	1350	3200
4,6	1200	3120
4,8	1300	2000
5	1200	2400
5,2	1530	2740
5,4	1580	3050
5,6	1570	3050
5,8	1490	2700
6	1570	2750
6,2	1450	2660
6,4	1470	2680
6,6	1450	2720
6,8	1650	3000
7	1480	3000
7,2	1480	2900
7,4	1750	3180
7,6	1650	2920
7,8	1650	2850
8	1600	2450
8,2	1550	2500
8,4	1050	1800
8,6	1300	2300
8,8	1350	2000
9	1400	2120
9,2	1350	2100
9,4	1380	2080
9,6	1220	2000
9,8	1350	2100
10	1400	2070
10,2	1500	2300
10,4	1640	2450
10,6	1750	3250
10,8	2150	3700
