1	145	750
1,2	215	1060
1,4	147	990
1,6	420	1600
1,8	225	1020
2	230	800
2,2	115	520
2,4	115	390
2,6	50	265
2,8	58	240
3	85	265
3,2	260	780
3,4	500	1200
3,6	700	2200
3,8	900	2080
4	900	2000
4,2	930	1980
4,4	910	1500
4,6	900	1600
4,8	1050	1900
5	1060	1920
5,2	1050	2400
5,4	1150	2300
5,6	1000	1600
5,8	900	1570
6	950	1650
6,2	1100	2000
6,4	1100	2050
6,6	1250	2800
6,8	1250	2100
7	1250	2300
7,2	1250	2750
7,4	1300	2650
7,6	1550	2400
7,8	2000	3720
8	1900	3700
8,2	1850	3200
8,4	1800	3250
8,6	1650	3050
8,8	1600	3200
9	1300	2650
