1,2	245	600
1,4	185	1150
1,6	225	1200
1,8	440	1700
2	365	1300
2,2	400	1650
2,4	410	1250
2,6	360	1050
2,8	265	975
3	175	725
3,2	210	550
3,4	355	675
3,6	750	2000
3,8	900	1900
4	1000	2000
4,2	950	1650
4,4	1050	1850
4,6	1000	1850
4,8	1050	1950
5	1050	1650
5,2	1250	2600
5,4	1350	2500
5,6	1200	2000
5,8	1100	1850
6	1150	1850
6,2	1300	2400
6,4	1300	2250
6,6	1450	3200
6,8	1450	2300
7	1450	2500
7,2	1450	2950
7,4	1500	2900
7,6	1750	2800
7,8	2200	4000
8	2100	4100
8,2	2050	3450
8,4	2250	3800
8,6	1850	3350
8,8	2000	3400
9	1500	2800
