2	400	1520
2,2	295	1200
2,4	135	545
2,6	125	555
2,8	195	910
3	205	780
3,2	165	680
3,4	60	445
3,6	640	1920
3,8	840	2180
4	950	1900
4,2	980	2080
4,4	900	1800
4,6	900	1700
4,8	900	1700
5	940	1720
5,2	1020	1540
5,4	1040	1920
5,6	1080	1990
5,8	1060	2150
6	1290	2360
6,2	1370	2140
6,4	1420	2680
6,6	1460	2750
6,8	1510	2810
7	1560	2460
7,2	1580	2900
7,4	1680	3200
7,6	1600	2780
7,8	1620	2880
8	2020	3670
8,2	2260	4040
8,4	2100	3500
8,6	1900	3730
8,8	2170	3000
9	2160	3120
9,2	2160	3820
9,4	1750	3520
9,6	1780	2750
9,8	1980	3900
10	1200	2050
10,2	1100	3800
