2,2	650	2200
2,4	530	2160
2,6	540	2250
2,8	640	2310
3	610	2380
3,2	550	2250
3,4	400	1470
3,6	260	460
3,8	145	540
4	475	1210
4,2	590	1350
4,4	1400	5000
4,6	1630	4550
4,8	1600	4100
5	1850	4200
5,2	1050	3310
5,4	1580	3500
5,6	1480	3620
5,8	1480	3250
6	1520	2900
6,2	1480	2760
6,4	1550	3650
6,6	1500	3000
6,8	1540	2380
7	1620	3400
7,2	1850	3150
7,4	1680	2960
7,6	1700	3050
7,8	1700	3350
8	1600	2860
8,2	1600	2860
8,4	1500	2430
8,6	1380	2630
8,8	1420	2300
9	1460	2170
9,2	1650	2820
9,4	1740	2790
9,6	1970	3720
9,8	2900	3470
10	2850	5000
