1,6	60	425
1,8	450	800
2	110	300
2,2	45	155
2,4	85	310
2,6	60	230
2,8	70	495
3	325	1250
3,2	215	650
3,4	160	280
3,6	125	435
3,8	650	1900
4	750	1850
4,2	975	2600
4,4	1900	5000
4,6	1950	5000
4,8	2050	4900
5	2200	4900
5,2	2100	4300
5,4	2300	4700
5,6	2300	4800
5,8	2300	4400
6	2350	4450
6,2	2050	4050
6,4	1800	3400
6,6	1750	3500
6,8	1650	2250
7	1400	2450
7,2	1350	2450
7,4	1400	2400
7,6	1500	2700
7,8	1600	2700
8	1550	2500
8,2	1550	2200
8,4	1650	2700
8,6	1700	2800
8,8	1600	2700
9	1800	2900
9,2	2000	3400
9,4	1950	3300
