1	110	1000
1,2	700	2400
1,4	280	1700
1,6	430	1500
1,8	170	800
2	140	800
2,2	95	1100
2,4	380	1700
2,6	280	1500
2,8	320	1500
3	420	1600
3,2	450	1950
3,4	650	2400
3,6	370	1450
3,8	350	600
4	300	650
4,2	390	700
4,4	1400	3100
4,6	1200	3250
4,8	1500	3950
5	1300	2800
5,2	1550	3450
5,4	1500	3300
5,6	1600	3150
5,8	1590	3250
6	1500	3050
6,2	1600	3200
6,4	1500	2950
6,6	1750	3000
6,8	1830	3300
7	1800	3200
7,2	1930	3400
7,4	1900	3420
7,6	1950	3150
7,8	1800	2800
8	1920	3300
8,2	1960	3080
8,4	2000	3300
8,6	1900	2900
8,8	1980	2850
9	1900	2700
9,2	1930	2800
9,4	1900	3100
9,6	2100	3500
9,8	2100	3300
10	2600	4500
