1	750	2800
1,2	720	2250
1,4	390	1650
1,6	165	780
1,8	350	1720
2	530	2450
2,2	520	2350
2,4	680	2650
2,6	700	2590
2,8	700	2470
3	650	2500
3,2	580	2300
3,4	340	1510
3,6	220	570
3,8	180	420
4	180	420
4,2	1180	3700
4,4	1490	4120
4,6	1480	4130
4,8	1820	4210
5	1820	4300
5,2	1710	3800
5,4	2000	4600
5,6	1900	4700
5,8	1900	3980
6	1930	4190
6,2	1990	3790
6,4	1990	3530
6,6	1830	3170
6,8	1820	3300
7	1520	2600
7,2	1500	2380
7,4	1520	2680
7,6	1420	2670
7,8	1380	2300
8	1400	2490
8,2	1500	2450
8,4	1550	2600
8,6	1590	2700
8,8	1580	2520
9	1580	2620
9,2	1700	2630
9,4	1600	2650
9,6	1700	3200
9,8	1710	3020
10	2800	5000
